clusters,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_evol_pop,ratio_protein_anim,pib_2018,pib_hab_2018,Importations Quantité 2018,Importations Valeur 2018 usd,Exportations Quantité 2018,Exportations Valeur 2018 usd,F1,F2
1,71962.18179104482,3079.469200271862,2.75,24.4,2431826840883.5,50749.262099,304147000.0,481646500.0,309728500.0,525024500.0,14.491461886393669,-4.501201314956666
2,286161.5973333333,16524.4984340734,9.76,5.7,7975702558431.2,17483.712730599997,1377800.0,15503400.0,16965400.0,56565800.0,2.9739066346671286,7.001141185150985
3,28520.77449772419,786.1513864011025,31.678723404255326,34.05723773213627,67120452239.680855,4488.336068510639,1725508.5106382978,4270631.678486998,1005164.1998149862,1636787.2340425532,-0.9480867638529364,-0.6564174944493101
4,43046.820223613184,707.344104145656,9.099791090629799,21.661184660326924,109668660338.30107,8175.322523193548,2792698.3870967743,5411229.510155316,4558940.977092099,4561629.0322580645,-0.3672155013295616,0.07644853294598254
5,50540.42678147728,1576.6095453278028,6.600000000000002,24.25384615384615,920567748993.4231,45328.775304846145,28251230.769230768,33769461.538461536,33781579.849498324,49162057.692307696,1.3407177914851631,-0.0869767161807846
