Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","52","Azerbaïdjan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","46939.128048","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","12","Bahamas","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12150.4","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","12","Bahamas","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","12424.5","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","35432.666386","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","13","Bahreïn","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","37876.302426","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","245633.488923","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","16","Bangladesh","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","269627.615528","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","14","Barbade","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","4978.153889","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","14","Barbade","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","5086.693295","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","57","Bélarus","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","54725.418814","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","57","Bélarus","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","59662.253541","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","255","Belgique","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","504250.025367","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","255","Belgique","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","543026.266507","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","23","Belize","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","1836.593466","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","23","Belize","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","1871.203164","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","53","Bénin","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","9269.331673","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","53","Bénin","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","10411.63717","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","17","Bermudes","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","6269.384044","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","17","Bermudes","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","6351.4","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2528.009185","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","18","Bhoutan","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","2658.312058","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","37508.683068","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","19","Bolivie (État plurinational de)","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","40287.647931","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","18080.610875","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","19781.95002","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","20","Botswana","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","17405.50354","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","20","Botswana","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","18614.604731","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","21","Brésil","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","2053601.668106","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","21","Brésil","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","1868613.092297","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","12128.166606","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","26","Brunéi Darussalam","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","13566.912772","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","58951.51617","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","27","Bulgarie","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","66199.180266","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","14169.989423","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","233","Burkina Faso","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","16199.647536","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","29","Burundi","6110","Valeur (US $)","22008","Produit Intérieur Brut","2017","2017","millions","3217.01681","X","Sources internationales sûres","Data from UNSD AMA"
"MK","Indicateurs macro","29","Burundi","6110","Valeur (US $)","22008","Produit Intérieur Brut","2018","2018","millions","3285.1503","X","Sources internationales sûres","Data from UNSD AMA"
