Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","107","Côte d'Ivoire","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","2","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","8231","","Donnée officielle"
"TA","Animaux vivants","98","Croatie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","7985","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","83462","","Donnée officielle"
"TA","Animaux vivants","54","Danemark","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","96685","","Donnée officielle"
"TA","Animaux vivants","59","Égypte","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","5","","Donnée officielle"
"TA","Animaux vivants","59","Égypte","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","9","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","5578","","Donnée officielle"
"TA","Animaux vivants","60","El Salvador","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","6548","","Donnée officielle"
"TA","Animaux vivants","225","Émirats arabes unis","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","1012","*","Chiffre non officiel"
"TA","Animaux vivants","225","Émirats arabes unis","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","793","","Donnée officielle"
"TA","Animaux vivants","178","Érythrée","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","177","*","Chiffre non officiel"
"TA","Animaux vivants","203","Espagne","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","62709","","Donnée officielle"
"TA","Animaux vivants","203","Espagne","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","61953","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","87","","Donnée officielle"
"TA","Animaux vivants","63","Estonie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","157","","Donnée officielle"
"TA","Animaux vivants","209","Eswatini","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","797","","Donnée officielle"
"TA","Animaux vivants","209","Eswatini","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","620","","Donnée officielle"
"TA","Animaux vivants","231","États-Unis d'Amérique","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","190166","","Donnée officielle"
"TA","Animaux vivants","231","États-Unis d'Amérique","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","204224","","Donnée officielle"
"TA","Animaux vivants","238","Éthiopie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","0","","Donnée officielle"
"TA","Animaux vivants","185","Fédération de Russie","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","13226","","Donnée officielle"
"TA","Animaux vivants","185","Fédération de Russie","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","13747","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5922","Exportations - Valeur","1057","Poulets","2017","2017","1000 US$","53","","Donnée officielle"
"TA","Animaux vivants","67","Finlande","5922","Exportations - Valeur","1057","Poulets","2018","2018","1000 US$","1573","","Donnée officielle"
